Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
10/27/2020,39.747157,-82.915235,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Evening,White Lady,
4/21/2022,40.102314,-83.315786,Columbus,Ohio,Old radio emitted static and a faint melody.,Dawn,White Lady,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
12/5/2023,40.016039,-83.31186,Columbus,Ohio,Witness captured blurry image on phone.,Night,Orbs,
1/25/2023,39.97786,-82.969906,Columbus,Ohio,Apparition matched description of local legend.,Morning,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
11/26/2022,39.742988,-83.242423,Columbus,Ohio,Figure disappeared upon approach.,Midnight,Orbs,
12/15/2024,41.404045,-81.422837,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Orbs,
2/26/2025,39.863649,-83.148519,Columbus,Ohio,Scent of old perfume noticed with no source.,Morning,White Lady,
6/11/2025,39.854124,-82.943965,Columbus,Ohio,Disembodied voice whispered a name.,Night,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
6/12/2023,41.493731,-81.675876,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,Phantom Sounds,
7/27/2023,39.869834,-83.411303,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Dawn,Poltergeist,
11/18/2020,39.93386,-82.97142,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Dawn,Shadow Figure,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
12/18/2021,41.370028,-81.644003,Cleveland,Ohio,Disembodied voice whispered a name.,Midnight,Orbs,
12/21/2021,41.694891,-81.395682,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Dawn,White Lady,
3/21/2025,40.120634,-83.067818,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Headless Spirit,
8/6/2023,39.594562,-83.283171,Columbus,Ohio,Apparition matched description of local legend.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
3/22/2025,41.459802,-81.820196,Cleveland,Ohio,Scent of old perfume noticed with no source.,Morning,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2/10/2024,39.97786,-83.197401,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Morning,Shadow Figure,
4/21/2025,40.016834,-82.596766,Columbus,Ohio,Local dog barking frantically before sighting.,Dawn,Shadow Figure,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
5/9/2022,40.37706,-83.73032,Columbus,Ohio,Scent of old perfume noticed with no source.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
12/5/2021,40.058648,-83.086405,Columbus,Ohio,Apparition matched description of local legend.,Night,Orbs,
4/18/2021,40.030573,-83.143063,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Shadow Figure,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
